"iter","ver1_1and3digit_lr0.001 - _step","ver1_1and3digit_lr0.001 - _step__MIN","ver1_1and3digit_lr0.001 - _step__MAX","ver1_1and3digit_lr0.001 - digit1_accuracy","ver1_1and3digit_lr0.001 - digit1_accuracy__MIN","ver1_1and3digit_lr0.001 - digit1_accuracy__MAX","ver1_1and3digit_lr0.001 - digit2_accuracy","ver1_1and3digit_lr0.001 - digit2_accuracy__MIN","ver1_1and3digit_lr0.001 - digit2_accuracy__MAX","ver1_1and3digit_lr0.001 - digit3_accuracy","ver1_1and3digit_lr0.001 - digit3_accuracy__MIN","ver1_1and3digit_lr0.001 - digit3_accuracy__MAX","ver1_1and3digit_lr0.001 - digit4_accuracy","ver1_1and3digit_lr0.001 - digit4_accuracy__MIN","ver1_1and3digit_lr0.001 - digit4_accuracy__MAX"
"16750","67","67","67","100","100","100","0","0","0","82","82","82","0","0","0"
"17000","68","68","68","100","100","100","0","0","0","82","82","82","0","0","0"
"17250","69","69","69","100","100","100","0","0","0","82","82","82","0","0","0"
"17500","70","70","70","100","100","100","0","0","0","82","82","82","0","0","0"
"17750","71","71","71","100","100","100","0","0","0","83","83","83","0","0","0"
"18000","72","72","72","100","100","100","0","0","0","83","83","83","0","0","0"
"18250","73","73","73","100","100","100","0","0","0","83","83","83","0","0","0"
"18500","74","74","74","100","100","100","0","0","0","83","83","83","0","0","0"
"18750","75","75","75","100","100","100","0","0","0","82","82","82","0","0","0"
"19000","76","76","76","100","100","100","0","0","0","82","82","82","0","0","0"
"19250","77","77","77","100","100","100","0","0","0","82","82","82","0","0","0"
"19500","78","78","78","100","100","100","0","0","0","82","82","82","0","0","0"
"19750","79","79","79","100","100","100","0","0","0","82","82","82","0","0","0"
"20000","80","80","80","100","100","100","0","0","0","82","82","82","0","0","0"
